,brand,category,color,features,price,sales_rank,title
B00CAZ4LEY,PowerGrind Pro,centrifugal,White,"['Revolutionary new hybrid technology', 'Delivers more juice and nutrients than other juicers - you can taste the difference', 'Durable electric motor and Patented Double Chute for making nut, seed, grain milks easily', 'Best Juicers', 'Excellent for losing weight']",,447352,Best Juicers - Powergrind Pro Pgp002-whsl Vitality Electric Juicer
B00CIU8XYK,Omega Juicers,masticating,Silver-Black,"['Model VRT 400 HDS - Silver Color', '15 Year Warranty', 'Mixing Juice Tap Function - Automatic Pulp Ejection - Auto Clean System', '150 Watt - 7"" Wide x 8 1/2"" Deep x 15 1/2"" High - 22 lbs - 80 RPM -2 HP Condenser Motor', 'Juicing, Making Soymilk, Smoothies']",$369.48,72687,Omega Vertical Masticating Hd Juicer W/Tap Vrt400
B00CIU92S6,Omega,masticating,Chrome,"['Masticating juicer chrome', 'Low speed juicing system, 80 RPM rotation speed', 'Exclusive ""Dual Stage"" masticating extraction', '5 Adjustable settings for maximum juice output', 'Continuous juicing with automatic pulp ejection', 'VOLTAGE: 110V']",$290.00,11793,"Omega NC900HDC 6th Generation Nutrition Center Electric Juicer, Chrome"
B00CIU937G,Omega,masticating,Red,"['Masticating juicer red', 'Low speed juicing system, 80 RPM rotation speed', 'Exclusive ""Dual Stage"" masticating extraction', '5 Adjustable settings for maximum juice output', 'Continuous juicing with automatic pulp ejection', 'VOLTAGE: 110V']",$299.00,118099,"Omega NC800 HDR 5th Generation Nutrition Center Juicer, Red"
B00CIU93TE,Omega,masticating,Silver,"['Masticating juicer silver', 'Low speed juicing system, 80 RPM rotation speed', 'Exclusive ""Dual Stage"" masticating extraction', '5 Adjustable settings for maximum juice output', 'Continuous juicing with automatic pulp ejection', 'VOLTAGE: 110V']",$299.00,30046,"Omega NC800 HDS 5th Generation Nutrition Center Juicer, Silver"
B00CM3XU4G,Omega,masticating,Black,"['Mega Mouth pulp ejection juicer', 'Extra large ""Mega Mouth"" feed chute', 'Designed for high-capacity juicing', 'Powerful 1/2 HP commercial motor', 'Automatic pulp ejection with pulp catch bin', 'VOLTAGE: 110V']",$145.00,613339,Omega BMJ300 Mega Mouth Pulp Ejection Juicer with Black Plastic Bowl
B00CM9RHUI,omega,masticating,Chrome,"['Continuous juicing with automatic pulp ejection. Exclusive ""dual stage"" masticating extraction', 'Powerful commercial grade motor, GE Ultem auger is 8 times stronger than melamine', 'Less foaming than centrifugal & double gear juicers', 'Beautiful chrome finish perferctly matches stainless steel kitchens', 'Includes 15 year warranty from Omega, the longest in the industry!']",$270.00,19635,Omega Chrome-Heavy Duty Masticating Juicer 8008
B00CM9RIZW,Omega Juicers,masticating,Silver/Black,"['Low 80RPM Rotation Speed', 'Continuous Juicing with Automatic Pulp Ejection', 'Gear Reduction System Produces Maximum Torque', 'Includes 6 Nozzles and 1 Juicing Screen', 'Full 15 Year Warranty']",$259.95,10254,"Omega Juicers J8007S 5th Generation Nutrition Center HD Juicer, Silver/Black"
B00D0XMD68,Omega Juicers,masticating,Gray & Black,"['Heavy Duty Dual-Stage Vertical Single Auger Low Speed Masticating Juicer', 'Package includes VRT350HD juicer + Nut Milks Bag for straining juices,nut milks  + Citrus Peeler + cCleaning Brush + 100 page Start Up Guide eBook with 100+ Recipes, Tips & Tricks to Learn about Juicing!', 'Easy To Use, Easy To Clean - Auto Cleaning System', 'Fine juicing screen for pulp control - Compact Base fit anywhere!', 'Included Nut Milks Bags for straining juices + Recipe Book + Start Up Guide !']",$379.99,1989269,"Omega VRT350 Juicer + Nut Milks Bag + Juicing Book,Recipes + Citrus Peeler + Cleaning Brush-- Heavy Duty Dual-Stage Vertical Single Auger Low Speed Juicer"
B00D0ZCKQ4,Omega Juicers,masticating,Gray & Black,"['Heavy Duty Dual-Stage Vertical Single Auger Low Speed Masticating Juicer', 'Package includes VRT350HD juicer + Coconut Opener  + Citrus Peeler + Cleaning Brush + 100 page eBook Start Up Guide with 100+ Recipes, Tips & Tricks to Learn about Juicing!', 'Easy To Use, Easy To Clean - Auto Cleaning System', 'Fine juicing screen for pulp control - Compact Base fit anywhere!', 'Included Coconut Opener Tool easily taps coconut water + Recipe Book + Start Up Guide !']",$379.99,1630134,"Omega VRT350 Juicer + Coconut Opener + Juicing Book,Recipes + Citrus Peeler + Cleaning Brush-- Heavy Duty Dual-Stage Vertical Single Auger Low Speed Juicer"
B00D37Q3US,Fusion Juicer,centrifugal,Black,"['Jason Vale Fusion Juicer provides rapid nutrition and fresh juice in just seconds to help you increase energy', 'lose weight and feel great^Engineered for high performance. Whisper-quiet 3600 RPM induction motor focuses on torque', 'not just speed', 'creating less heat that negatively affects the nutrient quality of your fresh juice.^Centrifugal juice extractor features a non-drip spout', 'superior extraction technology and a surgical-quality stainless steel blade.^Extra-large round feeder accommodates most whole fruits and vegetables.^Dishwasher safe parts for easy cleaning.']",$99.99,113461,Jason Vale Fusion Juicer Stainless Steel - Centrifugal Juice Extractor
B00D45ZTTU,Kendal,masticating,,"['Heavy-duty 800 watt motor with dual speed control: a low speed (9,000rpm) for softer fruits and vegetables and a high speed (12,000rpm) for harder fruits and vegetables.', 'Patented no clean function, automatic cleaning blade; Nutri Disc with stainless steel blades and stainless steel mesh filter basket for spinning out the pulp. High-end stainless steel body for durability.', 'Patented double-layer stainless steel filter, double grinding cutter for maximum juice extraction. Squeeze juice two times in a split second to extract up to 35% more juice and 40% more vitamins and minerals than other juicers.', 'extra-wide feed chute (3 inch): juice large fruits and vegetables with little or without cutting or preparation. 2L Large capacity pulp container.', 'Safety Locking Arm prevents the juicer from operating without the cover locked into place. Overload protection prevents over-heating, automatically shutting the machine down when it senses that the machine is overloaded.']",$61.99,379427,Kendal Heavy Duty Productive 800-Watt Fruit and Vegetable Juice Extractor Juicer w/ Auto-clean featureJPK-001
B00D49G06M,Hurom,masticating,White,"[""Using Hurom's cold-pressing system, 35% more juice is extracted from your foods than with traditional high-speed juicers, leaving less and drier pulp."", ""Hurom's patented Slow Squeezing TechnologyTM (SST) gently squeezes ingredients, preserving natural taste & nutrients lost by high-speed juicers that grind and crush. Slow juicing technology also retains heat-sensitive nutrients such as Vitamins A and C, and live enzymes."", 'The Hurom masticating juicer can easily process fruits, vegetables, leafy greens, wheatgrass, nuts, and soy to make a variety of juices, milks, sauces, marinades, even baby food.', ""Hurom's durable motor has a 10-year warranty, uses only 150 watts of energy and is practically silent."", 'The cold-press juicer features a heavy-duty Ultem? strainer and auger, which is eight times stronger than traditional plastics and handles both coarse and fine foods easily.']",$299.99,214764,Hurom Fresh Press Juicer Single Auger Masticating Juicer (JP Series)
B00DB8YMN4,Epica,citrus,Black,"[""GET MORE JUICE IN A FRACTION OF THE TIME: When tested against higher priced juicers, the Epica delivered 18% more juice in a third of the time. Enjoy fresh squeezed juice for breakfast - even when you're on the run."", 'STARTS AND STOPS WITH A SINGLE TOUCH: This juicer is as uncomplicated as they come. With one press, you can start and stop the automatic ultra quiet juicing. Fresh, healthy juice is only a touch away.', ""JUICE FLOWS RIGHT INTO YOUR GLASS: Whether you want an entire carafe of juice or just one glass, you can have it your way. It's just as easy to juice enough limes for a dozen margaritas as it is to get grapefruit juice for one Seabreeze."", ""RINSES CLEAN IN SECONDS AND WON'T CLOG: Many juicers on the market are a pain to clean up - which makes you dread using them. The Epica has only 3 parts that rinse clean in seconds."", ""TWO REAMER SIZES TO FIT ALL CITRUS FRUITS: Juice any kind of citrus fruit you want, from limes to oranges to grapefruits. Add the juice to cocktails, recipes, or drink it on its own. The fine mesh strainer won't clog with pulp.""]",,43831,Epica Powerful Stainless Steel Whisper-quiet Citrus Juicer-70 Watt motor
B00DDJJKO2,Kuvings,masticating,Red,"['Low speed masticating technology - Minimizes oxidation and preserves healthy nutrients', 'Quiet operation - Motor operates quietly at 80 rpm and minimizes the noise level (40-50 dB)', 'BPA free components - Juicing bowl and juice cup are made with Eastman Triton', 'Two-step safety start system - Ensures proper assembly and safe operation', 'Juice spout with smart cap - Used to create mixed juice and helps with quick rinsing', '110V USA/CANADA USE ONLY']",$309.91,329657,"Kuvings BPA-Free Silent Juicer SC Series With Detachable Smart Cap, Burgundy Pearl"
B00DDJJKUQ,Kuvings,masticating,Silver,"['Low speed masticating technology - Minimizes oxidation and preserves healthy nutrients', 'Quiet operation - Motor operates quietly at 80 rpm and minimizes the noise level (40-50 dB)', 'BPA free components - Juicing bowl and juice cup are made with Eastman Triton', 'Two-step safety start system - Ensures proper assembly and safe operation', 'Juice spout with smart cap - Used to create mixed juice and helps with quick rinsing', '110V USA/CANADA USE ONLY']",$349.99,407216,"Kuvings Silent Juicer SC Series With Detachable Smart Cap, Silver Pearl"
B00DDJJKVA,Kuvings,masticating,Black,"['Low speed masticating technology - Minimizes oxidation and preserves healthy nutrients', 'Quiet operation - Motor operates quietly at 80 rpm and minimizes the noise level (40-50 dB)', 'BPA free components - Juicing bowl and juice cup are made with Eastman Triton', 'Two-step safety start system - Ensures proper assembly and safe operation', 'Juice spout with smart cap - Used to create mixed juice and helps with quick rinsing', '110V USA/CANADA USE ONLY']",$262.00,60864,"Kuvings Silent Juicer SC Series With Detachable Smart Cap, Black Pearl"
B00DDJJKXS,Kuvings,masticating,Chrome,"['Low speed masticating technology - Minimizes oxidation and preserves healthy nutrients', 'Quiet operation - Motor operates quietly at 80 rpm and minimizes the noise level (40-50 dB)', 'BPA free components - Juicing bowl and juice cup are made with Eastman Triton', 'Two-step safety start system - Ensures proper assembly and safe operation', 'Juice spout with smart cap - Used to create mixed juice and helps with quick rinsing', '110V USA/CANADA USE ONLY']",$219.99,178946,"Kuvings Silent Juicer SC Series With Detachable Smart Cap, Chrome"
B00DEVI5MM,Better Chef,citrus,White,['Better Chef Citrus Juicer IM-502CJ'],$15.97,561870,Better Chef Citrus Juicer IM-502CJ
B00DJ2NGUM,Robot Coupe,centrifugal,"Silver, Grey","['Model &num;: J100 ULTRA', 'Induction direct drive motor', 'Very powerful, heavy-duty motor', 'Magnetic safety device and motor brake', 'All-metal juicer boasting our Auto Feed system for continuous throughput']","$1,800.00",570558,Robot Coupe J100 ULTRA 120V 1/3 HP Automatic Juicer
B00DM6GWEW,Kuvings,masticating,Black,"['Designed for use with most Kuvings SC/SE juicer models (Sold Separately) - For a precise fit', ""Crushes ice - For use in snow cones, frozen cocktails, slushies' and more"", 'Minces and Purees  - Allowing you to create fresh, healthy baby food', 'Included recipes - Offer preparation suggestions']",$40.54,322862,"Kuvings 200SM Frozen Dessert Maker Attachment for Kuvings SC/SE Series Juicer, Black"
B00DM6GWL0,Fagor,centrifugal,Silver,"[""Designed with an extra-large 3 inch food chute, the Enerjuicer can consume and process whole fruits that won't need to be cut, like apples and pears"", 'The juicer maintains a low noise level and has two speeds: 10,000 RPMs (HIGH) for harder produce and 7,000 RPMs (LOW) for softer fruits', 'Includes: 66 OZ pulp collector, 40 OZ juice collector, cleaning brush and a manual with recipes; All parts in contact with food are BPA Free', 'The black and stainless steel unit contains blades which are also made of high quality stainless steel and an easy-to-clean micro-mesh filter', 'Die-cast safety locking arm that secures juicer cover; 1 year warranty on all parts, including the motor']",$99.95,398577,"Fagor Enerjuicer Dual Speed Juice Extractor, 800-watt"
B00DQU78JC,Dash,citrus,Yellow,"['Make fresh citrus juices at home quickly and easily', 'Easily out-performs manual juice presses', 'Accommodate many sizes of oranges, lemons and limes', 'Dual cones for large and small fruits', 'Adjustable screens regulate pulp and catch seeds', 'Translucent jug with 1 quart (32 oz.) capacity and no-drip spout', 'Efficient electric reamer', 'Hidden cord storage', 'Protective acrylic cone cover', 'Dishwasher safe']",$32.21,333942,Dash Go Dual Citrus Juicer- Blue
B00DQU7BDU,Dash,citrus,White,"['32 oz. pitcher with adjustable pulp control', 'Efficient auto-reversing electric reamer makes juicing easy', 'Includes 2 reamer cones for juicing both large and small fruits', 'Pitcher lifts off base for convenient serving, removable parts are dishwasher safe', '1-year manufacturer warranty, recipe book and access to our growing database of recipes included']",$15.96,21073,Dash Go Citrus Juicer
B00DSYUL40,Omega Juicers,masticating,Gray & Black,"['Heavy Duty Dual-Stage Vertical Single Auger Low Speed Masticating Juicer- 15 year warranty!', 'Package includes VRT400HDS juicer + Stainless Steel Folding Drain Washing Rack + Nut Milk Bag + 100 page Start Up Guide eBook + CocoDrill Coconut Opener + Citrus Peeler', 'PLUS! Stainless Steel Folding Drain Rack for washing produce- extra counter space!', 'PLUS! CocoDrill Coconut Opening Tool - easily open young coconuts in seconds! - Compact Base fits anywhere!', 'Included Nut Milks Bags for straining juices,nut milks, and sprouting + Recipe Book & Start Up Guide eBook with 100+ Recipes, Tips & Tricks to Learn about Juicing!! Included Citrus Peeler for easily removing lemon, orange, lime peels before juicing!']",$399.95,235183,"Omega VRT400 Juicer Pack3 + Folding Drain Rack + Nut Milks Bag + Juicing eBook,recipes + Cocodrill Coconut Tool Heavy Duty Vertical Single Auger Low Speed Juicer"
B00DWITU4O,KRUPS,masticating,Silver Grey,"['Breakthrough design', 'Continuous slow juice extraction (80 rounds per minute)', 'Super silent motor (70 decibels)', '3-compartment feeding tube (1,5-ounce diameter each); external jug to collect compacted pulp', 'Anti-drip pouring spout; includes: 2 stainless steel baskets, cleaning brush, 2 plastic jugs, 1 foam separator and recipe book; made in France; 2-year worldwide warranty']",$559.98,447441,KRUPS ZB500E Infinity Slow Juice Extractor with 2 Stainless Steel Baskets f
B00DX7VK7Y,Cuisinart,centrifugal,Black,"[""Simple to use:  Lock the safety bar in place and press the poweer button. It's that easy!"", 'Nonstop Juicing:  Juice everything from soft foods and leafy greens to denser fruits and veggies.  When pulp container or juice pitcher is full, just remove to empty, replace and continue juicing.', 'Compact design:  The counter-friendly size makes the juicer easy to use again and again.', 'Just Enough Juice:  Fill a glass directly by placing it right under the spout for a single serving, or use the 16-oz. pitcher and share your nutritious beverage!', 'All materials that come into contact with food or liquids are BPA Free.  Clean & Easy: One simple button turns the unit on and off. Adjustable flow spout ensures mess-free juicing. Pulp container, juice picher, cover, and filter basket/blade assembly remove for easy cleanup. Top-rack dishwasher safe-safe.']",$198.88,574848,"CUISINART COMPACT JUICE EXTRACTOR, MODEL JE-1000SA"
B00DXL6ZPM,Hamilton Beach,centrifugal,Black,['BRAND NEW - Hamilton Beach 67601 Big Mouth Juice Extractor - FREE SHIPPING!!!'],$104.98,1355809,Brand NEW - Hamilton Beach 67601 Big Mouth Juice Extractor!!!
B00DYIKXUC,Tribest,masticating,Red/Black,"['SLOW 47 RPM cold press juice extraction results in the best, fresh juices with minimal oxidation compared with juice from centrifugal juicers', 'DUO-BLADE AUGER makes juicing faster and easier for both juicing beginners and experienced users who want to spend less time and effort in the kitchen yet still include healthy juices in their diet', 'INCLUDED MINCING ATTACHMENT increases the versatility of the Slowstar by turning it into a food homogenizer, great for everything from salsas to frozen sorbets', 'POWERFUL AND EFFICIENT 200 WATT MOTOR with 3-stage reduction gears produces torque 2-3 times greater than other vertical masticating juicers so there is less jamming and more juicing', 'CONVENIENT JUICE CAP allows you to control the juice flow during juicing so you can easily switch containers, premix juice, and stop spillage by opening or closing the cap', 'INDUSTRY LEADING 10-YEAR WARRANTY with a dedicated customer service team ensures you will be juicing for many years to come']",$339.99,15900,"Tribest Slowstar Vertical Slow Juicer and Mincer SW-2000, Cold Press Masticating Juice Extractor in Red and Black"
B00E0FKQMI,Big Boss,masticating,White,"['Easiest way to get essential nutrients, nothing lost', 'Stainless Steel Strainer', 'Juices fruits and vegetables', 'Easy to clean', 'More juice on average']",$69.98,484986,"Big Boss 9192 Nutritionally Beneficial Slow Juicer, White"
B00E0FKQN2,Big Boss,masticating,Red,"['Easiest way to get essential nutrients, nothing lost', 'Stainless Steel Strainer', 'Juices fruits and vegetables', 'Easy to clean', 'More juice on average']",$84.99,752957,"Big Boss 9177 Nutritionally Beneficial Slow Juicer, Red"
B00E0IBKLQ,Hamilton Beach,centrifugal,Black,"['Recipes and cleaning brush included (Juice cup not included)', 'Easy to assemble and store - just insert the strainer and lock on the lid with latches. No special tools needed', 'Extra-large pulp bin lets you juice longer - use pulp in recipes or for composting', 'Large, round chute for less pre-cutting', 'Powerful 800 watt motor makes fresh, delicious juice in seconds']",$53.53,1976,"Hamilton Beach 67601A Big Mouth Juice Extractor, Black"
B00E7MJW74,HOME-APP,centrifugal,,"['Juice Pitcher holds up to 16 ounces of juice, and can be replaced for uninterrupted juicing', 'Pulp container collects up to 40 ounces and is removable for easy cleaning', 'Food Pusher fits securely into feed tube to guide fruits and vegetables properly while juicing', 'Adjustable flow spout is manually controlled and prevents dripping', 'Mesh filter basket and blade assembly grinds fruits and vegetables to extract maximum amount of juic']",$115.46,1453911,Cuisinart Juice Extractor - Compact by HOME-APP
B00E84H46C,Cuisinart,citrus,black/STAILESS STEEL,['CONAIR-B STOCK CCJ-500FR REFURB CITRUS JUICER'],$29.49,468282,Cuisinart Citrus Extra Long Snap-Up Spout Juicer
B00E9ALZQU,Frucosol,citrus,Yellow,"['Automatically Cut & Squeeze 10-12 fruits per minute - Diameters up to 2.75 inches', 'Advanced juicing process reduces bitterness making sweeter tasting juice', 'The front opening allows easy viewing of the squeezing process', 'Country of Mfg Spain; Power 120V/60 Hz; 150 W; Tested and Certified by ETL', 'Manufacturers 12 month limited warranty']","$2,390.00",728748,Frucosol F-Compact Automatic Orange Juicer
B00EBC3UXC,WARING,centrifugal,"White, stainless steel","['Waring Juice Extractor, White and Stainless Steel, MN#11JE38']",,1119444,"Waring Juice Extractor, White and Stainless Steel, MN#11JE38"
B00ECSNEBI,Iwatani,masticating,,['100V Converter necessary for AC plug'],$59.99,None,Iwatani juicer mill mixer IFM-6PW-A
B00ECWVA9M,Omega Juicers,centrifugal,,"['Free Lift Gate Delivery on large units Included to get unit off the truck only.', 'Omega J8004 Nutrition Center Juicer in White is a heavy-duty, single gear masticating juicer', 'Measures 15"" W x 11.25"" H x 7.25"" L', 'Chute opening measures 1.5"" x 1.5""', 'UL and CUL approved']",$349.99,2204156,Omega J8004 Nutrition Center Juicer in White
B00EDSEP9M,Dash,masticating,Black,"['Produces more juice than traditional juicers.', 'Save time with easy assembly and disassembly.', 'Juices wheat grass and nuts.', 'No foam.', 'Settings; On, Off, Reverse.']",$85.00,412524,Dash Tall Squeeze Juicer
B00EE5YIQE,Santos,centrifugal,Not Applicable,"['Centrifugal Juicer by Santos', 'Length of the Item is 12-Inch', 'Height of the Item is 14-Inch', 'Width of the Item is 8-Inch', 'Made in France']",$579.81,352232,"Santos 991077 Centrifugal Juicer, 8-Ounce"
B00EF59DO0,Miracle,centrifugal,Silver,"['Large 3.25"" diameter feeding tube', 'Stainless steel cutting blade and basket', 'Pulp ejection', 'Inclined body, leans 5 degrees, allows juice to flow feely', 'Attractive brushed stainless steel housing']",$117.25,1412833,Miracle MJ3000 Centrifugal Pulp Ejecting 2 Speed Juicer
B00EF9U75K,Breville,centrifugal,,"['Heavy-duty compact juice fountain with centered knife blade assembly', 'Juicer has 700-watt motor operates at 14,000 RPM for maximum extraction', 'Juicer has Extra-large 3-inch centered feed tube; stainless-steel micro-mesh filter', '30 count of juicer bags that are certified by the Biodegradable Products Institute as 100-percent Compostable and Biodegradable', 'Juice bags are 6 liters and will fit all Breville juicer pulp bins as well as other juicer brands']",$109.98,345876,Breville BJE200XL Compact Juicer and Biodegradable Juicer Bags
B00EFA9LMY,Breville,centrifugal,,"['Countertop juicing machine with extra-wide 3-inch feeder chute', 'Juicer has 850-watt dual-speed motor and a powerful stainless-steel cutting disc for fast results', '30 count of juicer bags that are certified by the Biodegradable Products Institute as 100-percent Compostable and Biodegradable', 'Juice bags are 6 liters and will fit all Breville juicer pulp bins, as well as other juicer brands']",$159.98,521908,Breville JE98XL Juice Fountain Plus Juicer and Biodegradable Juice Bags
B00EFAMVSA,Breville,centrifugal,,"['1000-watt juicer with 2 speed controls, high (13,000 RPM) and low (6,500 RPM)', 'Juicer has die-cast steel housing, stainless-steel micromesh filter, and titanium-plated cutting disk', 'Juicer has circular 3-inch feed tube accommodates whole fruits and vegetables', '30 count of juicer bags that are certified by the Biodegradable Products Institute as 100-percent Compostable and Biodegradable', 'Juice bags are 6 liters and will fit all Breville juicer pulp bins as well as other juicer brands']",$308.58,286369,Breville 800JEXL Juice Fountain Elite Juicer and Biodegradable Pulp Bin Bags
B00EFBKSFC,Fagor,masticating,Silver/Black,"['The motor in the Platino juicer rotates at a maximum of 90 RPM, which outputs a minimal amount of noise compared to traditional juicers', 'The auger ,which is the main component of the unit, squeezes the vitamins, minerals and antioxidants into your juice', 'The Slow Juicer Platino uses only 150 watts of power', 'Cleaning the Platino is easy, simply pour water though the unit; When the water runs clear you can juice different foods and the flavors will not mix', ""Includes user's manual, recipe booklet and cleaning brush""]",$260.99,499637,Fagor 967010008 Slow Platino Multipurpose Juicer
B00EPVR5AI,Tribest,masticating,Red & Black,"['220 Volt Power version for International Use!', 'Super Low Speed of 47 RPM; Duoblade, Double-edged Ultem Auger,3 Stage Speed Reduction Gear with 200 Watt Motor', 'Juicing and Mincing Attachment for homogenizing sorbet, baby food, nut milks & more!', 'Torque power equivalent to 9 HP motor; 100% BPA-Free Housing and Casing Virtually BPA-Free Ultem Auger and Screen; Quiet Operation', 'Includes Juicing & Mincing Attachments + 2 cups, and stainless steel juice pulp sieve/strainer; 10 Year Warranty']",$383.75,199094,"220 volt - Tribest Slowstar Slow Juicer and Mincer, Model SW-2000 220V for International Use"
B00EPY6KQ0,BLACK+DECKER,citrus,White,"['500ml capacity', 'Automatic press down start', 'Bi-directional motor', 'Translucent bowl', 'Power: 30 watts; Operating voltage: 220-240 volts']",$26.99,985974,Black & Decker CJ200 0.5-Litre 30-Watt Citrus Juicer
B00ESB5HFK,Bella,centrifugal,Stainless Steel,"['A 1000 Watt motor produces extremely high speed and power giving you the ability to juice anything from stubborn hard veggies like carrots and roots to soft leafy greens with little effort', 'The speed control panel displays the most commonly juiced items by category to help you choose the right setting for maximum juice extraction. Includes 5 speed options to take the guess work out of juicing', 'Stainless steel blade basket with durable anodized cutter blades to extract the most from your fruits and veggies. The metal mesh filter quickly spins to separate out the pulp so you can enjoy nutritious, smooth concentrated juice', 'A large 3-inch feed tube allows for larger produce with minimal chopping or slicing, so you can enjoy healthy juice in less time. This also means you can get full nutrients from whole fruits or vegetables, seeds and skin included', ""All of the BELLA 5-Speed Digital Juice Station's removable parts are dishwasher safe in the top rack to simplify clean up. Plus, the anti-drip spout prevents messy spills so you'll have less to wipe up when you're all done""]",$340.00,244912,"BELLA 5-SPEED Centrifugal Elite Stainless Steel Juicer, 1000 watts"
B00EV4BSNE,Dash,citrus,Stainless,"['Compatible with all citrus fruits', 'The automatic on/off function makes juicing easy - simply press the fruit down to start and release pressure to stop', '2 reamers included for different sized fruits', 'All non electric parts are dishwasher safe', '1 year manufacturer warranty']",,176964,Dash Stainless Citrus Juicer
B00F471WY2,CUISINART,centrifugal,Silver,"['Die-cast and stainless steel housing', 'Exclusive easy unlock and lift system', 'Exclusive foam management filter disk', 'Exclusive anti-drip adjustable flow spout', 'Large 3 inch feed tube for whole fruits and vegetables']",$180.72,1104536,Cuisinart CJE-1000 Juice Extractor + Handy Glass Coffee Mug 2-Pieces + The Juicing Bible
B00FBNJSC2,Champion Juicer,masticating,Black,"['Powerful 1/3 horespower heavy duty GE motor', 'Large 1.75"" diameter feeding tube', 'Floating cutter is designed to separate the juice from the pulp', 'All in one continuous operation with little to no intermittent cleaning', 'Blades are made of tempered stainless steel']",$265.00,531752,Household Juicer in Black
B00FGBDB86,Kuvings,centrifugal,White/Orange,"['Capable of 30-50 cups of continuous juicing without cleaning, all the while giving you pure and nutrient-filled beverages', 'Safety locking system prevents unit from operating unless the juicing bowl and its cover are properly locked on the base unit', 'Two-speed functions: Low (9,500 RPM) and Turbo (11,000 rpm)', 'Comes with a large capacity chute, 3D mesh screen, stainless steel juicing bowl and blade, and a durable cleaning brush is included to get the toughest spots with ease', ""3-year manufacturer's warranty"", '110V USA/CANADA USE ONLY']",$119.99,None,"Kuvings NJ9310U Centrifugal Juicer, White/Orange"
B00FN3PGIK,Hamilton Beach,centrifugal,Red,"['Fits whole foods for less pre-cutting', 'Easy to assemble and store. Powerful 800W motor.', 'Extra-large pulp bin lets you juice longer', 'Dishwasher safe parts.', 'Includes recipes, tips and juicing cup.']",$73.56,537099,"Hamilton Beach Big Mouth Juice Extractor, Red"
B00FOX9UTA,Horarary,centrifugal,White,['Juiceman Electric Citrus Juicer'],$25.00,211942,Juiceman Electric Citrus Juicer
B00FQE2LTI,Hamilton Beach,masticating,Black,"['Brand New Hamilton Beach 67601A Powerful 800W Big Mouth Countertop Juice Extractor, Black', 'PRODUCT FEATURES', 'Yields up to 24% more apple juice than a leading competitor', '800 watts of peak power extracts juice from toughest of produce', 'Extra-wide 3"" feed chute fits whole fruits & vegetables, reducing prep time']",$65.83,943510,"Hamilton Beach Big Mouth Juice Extractor, Black | 67601A"
B00FQLSH62,Better Chef,citrus,Black,[],$39.64,948956,"Better Chef IM-505CJ Citrus Juicer, Black"
B00FRR7SLU,Cool Kitche Pro,citrus,,"['The juice collects in the built in removable container or in a glass', 'Easy to use and clean and has a soft grip handle for comfort.', 'Comes with a removable universal cone and filter', 'Powerful 160 watt motor and all stainless steel housing make it beautiful as well as functional.']",$112.50,1456245,Cool Kitchen Pro Stainless Steel Citrus Juicer
B00FW5JW02,Emson,centrifugal,Yellow,"['Manufactured to the Highest Quality Available.', 'Design is stylish and innovative. Satisfaction Ensured.', 'Great Gift Idea.']",$62.99,None,Big Boss Juicer
B00G13UCXA,Maxam,centrifugal,Brushed Stainless Steel,"['Maxam High-Speed Centrifugal Juicer - KTJUICE8', 'This is highly durable', 'This is manufactured in China']",$70.00,1378777,Maxam KTJUICE8 High-Speed Centrifugal Juicer
B00G14AY6Y,Maxam,centrifugal,Brushed Stainless Steel,"['Maxam Silent Low-Speed Auger Juicer - KTJUICE9', 'This is highly durable', 'This is manufactured in China']",$169.99,871703,Maxam KTJUICE9 Silent Low-Speed Auger Juicer
B00G5MZV8I,Frigidaire,citrus,White,"['Will not work in USA & Canada; 220-240 Volts 50hz', 'Capacity: 1.0 Liter', 'Power: 30 Watts', 'Double Cones', 'Transparent Juice Tank']",$18.39,379799,"Frigidaire FD5161 1-Liter Electric Citrus Juicer, 220 Volts (Not for USA)"
B00G6PKQCK,Brentwood,citrus,Clear,"['2-way direction', '1.2L capacity', 'Detachable pitcher for easy pouring']",$11.23,196030,"Brentwood J-17 Appliances 1.2 L Citrus Juice Extractor, Clear"
B00G8RD3IA,Peerless,citrus,,"['New - Retail', '30-Day Mfg Warranty', 'Peerless Industries ELM1', 'Smart Planet Elm1 Electric Lemonade Maker Powered Juicenmix']",$54.95,None,Smart Planet Elm1 Electric Lemonade Maker Powered Juicenmix
B00G9GFI7E,Frigidaire,centrifugal,Black/ Stainless Steel,"['Juice Extractor/ Blender', '220-240 Volt/ 50 Hz, Juice Extractor/ Blender', '1.5 Liter Transparent Plastic Jar, 1.5 Liter Pulp container and 550ml Juice Cup Capacity', '2 Speeds, Rotary switch', '400 Watts Power, Stainless steel blades and filter basket for much sanitary']",$68.05,680980,"Frigidaire FD5181 Juice Extractor/ Blender, OVERSEAS USE ONLY, WILL NOT WORK IN THE US"
B00GCH3D22,Omega Juicers,masticating,Yellow,"['Continuous Juicing; Automatic Pulp Ejection', 'Exclusive ""Dual Stage"" Masticating Extraction', 'High Juice Yield - Very Dry Pulp', 'Powerful Commercial Motor', 'Less Foaming Than Double Gear Juicers; Watts: 150; Manufacturer Warranty: 10-year limited warranty']",$219.99,517388,Multi-Purpose Juicer/Food Processor
